X,Y,OBJECTID_1,OBJECTID,Name,Address,Postcode,Town,Type_,Comments
-6.511672686522486,55.219934102017525,18,20,Smugglers Inn,"306 Whitepark Road, Bushmills, County Antrim",BT57 8SN,Bushmills,Hotel, 
-6.65393618528763,55.206797806451654,19,21,Atlantic Bar and Lounge,"2 Atlantic Ave, Portrush, County Antrim",BT56 8BW,Portrush,Pub, 
-6.516403497379398,55.06957679954666,20,22,Molly's Restaurant,"24 Main Street, Ballymoney, County Antrim",BT53 6AL,Ballymoney,Restaurant, 
-6.516119365652129,55.232606600798412,21,23,The Nook,"48 Causeway Road, Bushmills, County Antrim",BT57 8SU,Bushmills,Restaurant, 
-6.517652399301483,55.070344778461788,22,24,The Diamond Bar,"2 High Street, Ballymoney, County Antrim",BT53 6AG,Ballymoney,Pub, 
-6.515883842612377,55.070457302505567,23,25,Ma Kelly's Bar and Grill,"21 Church Street, Ballymoney, County Antrim",BT53 6HS,Ballymoney,Restaurant, 
-6.515765825216583,55.07048494600631,24,26,Glynns Bar,"23 Church Street Ballymoney, County Antrim",BT53 6HS,Ballymoney,Pub, 
-6.514268477811971,55.066562543545743,25,27,Joey's Bar,"15 Seymour Street, Ballymoney, County Antrim",BT53 6JR,Ballymoney,Pub, 
-6.548501739508339,54.952601049801665,26,28,The Manor Hotel,"69 Bridge Street, Kilrea, County Antrim",BT51 5RR,Kilrea,Hotel, 
-6.885525947777248,55.15762821793664,27,29,Cooleys Bar,"660 Seacoast Road, Limavady, County Londonderry",BT49 0LG,Limavady,Pub, 
-6.384322178558348,55.138791433536497,28,31,The Hedges Hotel and Restaurant,"141 Ballinlea Road, Stranocum, County Antrim",BT53 8PX,Stranocum,Hotel, 
-6.555465941476874,54.950773609495194,29,32,Talk O The Town,"15-17 Church Street, Kilrea, County Londonderry",BT51 5QU,Kilrea,Pub, 
-6.556582161409015,54.951224504449073,30,33,Rainey's Bar,"20-22 Maghera Street, Kilrea, County Londonderry",BT51 5QN,Kilrea,Pub, 
-6.060470144796627,55.061375738065266,31,34,The Saffron Bar,"4-6 Main Street, Waterfoot, County Antrim",BT44 0QR,Waterfoot,Pub, 
-6.060515742155528,55.061148395015238,32,35,Mariners Bar,"7 Main Street, Waterfoot, County Antrim",BT44 0QR,Waterfoot,Pub, 
-6.042721817513947,55.125368771883082,33,36,McBrides Bar,"2 Main Street, Cushendun, County Antrim",BT44 0PH,Cushendun,Pub, 
-6.32922021718308,54.994536074341987,34,37,Patton's Bar,"18-20 Ballycregagh Road, Cloughmills, County Antrim",BT44 9LB,Cloughmills,Pub, 
-6.783429327620195,54.870789970284392,35,38,Ponderosa Bar,"974 Glenshane Road, Dungiven, County Londonderry",BT47 4SD,Dungiven,Pub, 
